condition,noise_model,noise_strength,accuracy,precision,recall,f1,mean_probability_shift,mean_absolute_probability_shift,prediction_change_rate_vs_ideal,sample_count
Ideal Simulation,none,0.0,0.85,0.8365384615384616,0.87,0.8529411764705882,0.0,0.0,0.0,200
Bit Flip,bit_flip,0.01,0.85,0.8365384615384616,0.87,0.8529411764705882,-0.0035009765625,0.0364990234375,0.0,200
Phase Flip,phase_flip,0.01,0.85,0.8365384615384616,0.87,0.8529411764705882,0.00158203125,0.004892578125,0.0,200
Depolarizing,depolarizing,0.01,0.85,0.8365384615384616,0.87,0.8529411764705882,-0.00103515625,0.02720703125,0.0,200
Readout,readout,0.01,0.85,0.8365384615384616,0.87,0.8529411764705882,-0.00041015625,0.00634765625,0.0,200
IBM Hardware,ibm_fez,,0.855,0.8446601941747572,0.87,0.8571428571428571,-0.0139990234375,0.0342724609375,0.005,200
