experiment_id,environment,backend,noise_type,noise_level,seed,shots,n_samples,n_qubits,vqc_layers,n_parameters,accuracy,precision,recall,f1,accuracy_gap,f1_gap,accuracy_relative_gap,f1_relative_gap
E1,controlled_noisy_simulation,AerSimulator,depolarizing,0.001,42,1024,200,4,2,16,0.85,0.8365384615384616,0.87,0.8529411764705882,0.0,0.0,0.0,0.0
E1,controlled_noisy_simulation,AerSimulator,depolarizing,0.005,42,1024,200,4,2,16,0.85,0.8365384615384616,0.87,0.8529411764705882,0.0,0.0,0.0,0.0
E1,controlled_noisy_simulation,AerSimulator,depolarizing,0.01,42,1024,200,4,2,16,0.85,0.8365384615384616,0.87,0.8529411764705882,0.0,0.0,0.0,0.0
E1,controlled_noisy_simulation,AerSimulator,depolarizing,0.02,42,1024,200,4,2,16,0.84,0.8207547169811321,0.87,0.8446601941747572,0.010000000000000009,0.008280982295830963,0.011764705882352951,0.009708737864077681
E1,controlled_noisy_simulation,AerSimulator,depolarizing,0.05,42,1024,200,4,2,16,0.845,0.8285714285714286,0.87,0.848780487804878,0.0050000000000000044,0.004160688665710177,0.005882352941176476,0.0048780487804877945
