noise_level,accuracy,precision,recall,f1,accuracy_gap,f1_gap,accuracy_relative_gap,f1_relative_gap
0.001,0.85,0.836538,0.87,0.852941,0.0,1.764705882534301e-07,0.0,2.0689655174540081e-07
0.005,0.85,0.836538,0.87,0.852941,0.0,1.764705882534301e-07,0.0,2.0689655174540081e-07
0.01,0.85,0.836538,0.87,0.852941,0.0,1.764705882534301e-07,0.0,2.0689655174540081e-07
0.02,0.84,0.820755,0.87,0.84466,0.010000000000000009,0.008281176470588236,0.011764705882352951,0.009708965517241382
0.05,0.85,0.836538,0.87,0.852941,0.0,1.764705882534301e-07,0.0,2.0689655174540081e-07
